IP ADDRESS,CURRENT_STATUS,LAST USED
192.168.1.1,maybe available,2014-01-01 20:24:41
192.168.1.2,available,never used
192.168.1.3,available,never used
192.168.1.4,available,never used
192.168.1.5,available,never used
192.168.1.6,maybe available,2013-12-31 10:12:32
192.168.1.7,available,never used
192.168.1.8,maybe available,2013-12-25 03:03:40
192.168.1.9,unavailable,2014-01-02 15:47:29
192.168.1.10,available,never used
192.168.1.11,available,never used
192.168.1.12,unavailable,2014-01-02 15:47:34
192.168.1.13,available,never used
192.168.1.14,maybe available,2013-12-30 14:31:30
192.168.1.15,available,never used
192.168.1.16,available,never used
192.168.1.17,available,never used
192.168.1.18,available,never used
192.168.1.19,available,never used
192.168.1.20,maybe available,2013-12-30 14:18:13
192.168.1.21,available,never used
192.168.1.22,maybe available,2013-12-31 15:44:11
192.168.1.23,available,never used
192.168.1.24,available,never used
192.168.1.25,available,never used
192.168.1.26,maybe available,2013-12-26 10:58:32
192.168.1.27,maybe available,2014-01-02 11:03:31
192.168.1.28,maybe available,2014-01-02 11:03:31
192.168.1.29,maybe available,2013-12-26 10:45:00
192.168.1.30,available,never used
192.168.1.31,available,never used
192.168.1.32,available,never used
192.168.1.33,available,never used
192.168.1.34,available,never used
192.168.1.35,available,never used
192.168.1.36,available,never used
192.168.1.37,available,never used
192.168.1.38,available,never used
192.168.1.39,available,never used
192.168.1.40,unavailable,2014-01-02 15:48:55
192.168.1.41,available,never used
192.168.1.42,available,never used
192.168.1.43,available,never used
192.168.1.44,available,never used
192.168.1.45,available,never used
192.168.1.46,available,never used
192.168.1.47,available,never used
192.168.1.48,available,never used
192.168.1.49,available,never used
192.168.1.50,available,never used
192.168.1.51,unavailable,2014-01-02 15:49:25
192.168.1.52,available,never used
192.168.1.53,available,never used
192.168.1.54,maybe available,2013-12-30 13:52:32
192.168.1.55,maybe available,2013-12-30 13:52:32
192.168.1.56,maybe available,2014-01-02 11:04:46
192.168.1.57,maybe available,2014-01-02 11:04:46
192.168.1.58,maybe available,2014-01-02 11:04:46
192.168.1.59,maybe available,2014-01-02 11:04:46
192.168.1.60,available,never used
192.168.1.61,maybe available,2014-01-02 11:04:49
192.168.1.62,maybe available,2013-12-25 13:41:01
192.168.1.63,available,never used
192.168.1.64,unavailable,2014-01-02 15:50:01
192.168.1.65,maybe available,2013-12-31 10:14:56
192.168.1.66,maybe available,2014-01-02 11:04:58
192.168.1.67,available,never used
192.168.1.68,available,never used
192.168.1.69,available,never used
192.168.1.70,unavailable,2014-01-02 15:50:16
192.168.1.71,maybe available,2014-01-02 09:41:28
192.168.1.72,unavailable,2014-01-02 15:50:19
192.168.1.73,unavailable,2014-01-02 15:50:19
192.168.1.74,available,never used
192.168.1.75,available,never used
192.168.1.76,available,never used
192.168.1.77,available,never used
192.168.1.78,available,never used
192.168.1.79,available,never used
192.168.1.80,available,never used
192.168.1.81,available,never used
192.168.1.82,available,never used
192.168.1.83,available,never used
192.168.1.84,available,never used
192.168.1.85,available,never used
192.168.1.86,available,never used
192.168.1.87,available,never used
192.168.1.88,available,never used
192.168.1.89,available,never used
192.168.1.90,available,never used
192.168.1.91,available,never used
192.168.1.92,available,never used
192.168.1.93,available,never used
192.168.1.94,available,never used
192.168.1.95,available,never used
192.168.1.96,available,never used
192.168.1.97,available,never used
192.168.1.98,unavailable,2014-01-02 15:51:31
192.168.1.99,maybe available,2013-12-26 14:55:42
192.168.1.100,maybe available,2014-01-02 15:08:53
192.168.1.101,maybe available,2013-12-31 14:24:49
192.168.1.102,available,never used
192.168.1.103,available,never used
192.168.1.104,unavailable,2014-01-02 15:51:46
192.168.1.105,unavailable,2014-01-02 15:51:46
192.168.1.106,unavailable,2014-01-02 15:51:46
192.168.1.107,unavailable,2014-01-02 15:51:46
192.168.1.108,available,never used
192.168.1.109,unavailable,2014-01-02 15:51:49
192.168.1.110,available,never used
192.168.1.111,unavailable,2014-01-02 15:51:52
192.168.1.112,maybe available,2013-12-26 10:48:02
192.168.1.113,maybe available,2013-12-26 04:47:17
192.168.1.114,available,never used
192.168.1.115,available,never used
192.168.1.116,unavailable,2014-01-02 15:52:04
192.168.1.117,maybe available,2013-12-27 12:48:46
192.168.1.118,available,never used
192.168.1.119,available,never used
192.168.1.120,maybe available,2013-12-25 13:43:08
192.168.1.121,available,never used
192.168.1.122,available,never used
192.168.1.123,unavailable,2014-01-02 15:52:20
192.168.1.124,available,never used
192.168.1.125,available,never used
192.168.1.126,available,never used
192.168.1.127,available,never used
192.168.1.128,available,never used
192.168.1.129,maybe available,2013-12-26 09:40:13
192.168.1.130,available,never used
192.168.1.131,available,never used
192.168.1.132,available,never used
192.168.1.133,unavailable,2014-01-02 15:52:47
192.168.1.134,unavailable,2014-01-02 15:52:47
192.168.1.135,unavailable,2014-01-02 15:52:47
192.168.1.136,unavailable,2014-01-02 15:52:47
192.168.1.137,unavailable,2014-01-02 15:52:47
192.168.1.138,available,never used
192.168.1.139,unavailable,2014-01-02 15:52:50
192.168.1.140,available,never used
192.168.1.141,unavailable,2014-01-02 15:52:53
192.168.1.142,unavailable,2014-01-02 15:52:53
192.168.1.143,unavailable,2014-01-02 15:52:53
192.168.1.144,unavailable,2014-01-02 15:52:53
192.168.1.145,available,never used
192.168.1.146,unavailable,2014-01-02 15:52:56
192.168.1.147,unavailable,2014-01-02 15:52:56
192.168.1.148,unavailable,2014-01-02 15:52:56
192.168.1.149,available,never used
192.168.1.150,available,never used
192.168.1.151,unavailable,2014-01-02 15:53:02
192.168.1.152,unavailable,2014-01-02 15:53:02
192.168.1.153,unavailable,2014-01-02 15:53:02
192.168.1.154,unavailable,2014-01-02 15:53:02
192.168.1.155,maybe available,2013-12-26 10:49:15
192.168.1.156,unavailable,2014-01-02 15:53:05
192.168.1.157,unavailable,2014-01-02 15:53:05
192.168.1.158,unavailable,2014-01-02 15:53:05
192.168.1.159,unavailable,2014-01-02 15:53:05
192.168.1.160,unavailable,2014-01-02 15:53:05
192.168.1.161,available,never used
192.168.1.162,maybe available,2014-01-02 11:36:25
192.168.1.163,unavailable,2014-01-02 15:53:11
192.168.1.164,unavailable,2014-01-02 15:53:11
192.168.1.165,available,never used
192.168.1.166,available,never used
192.168.1.167,available,never used
192.168.1.168,available,never used
192.168.1.169,available,never used
192.168.1.170,available,never used
192.168.1.171,unavailable,2014-01-02 15:53:29
192.168.1.172,unavailable,2014-01-02 15:53:29
192.168.1.173,available,never used
192.168.1.174,available,never used
192.168.1.175,available,never used
192.168.1.176,available,never used
192.168.1.177,available,never used
192.168.1.178,available,never used
192.168.1.179,available,never used
192.168.1.180,available,never used
192.168.1.181,available,never used
192.168.1.182,available,never used
192.168.1.183,available,never used
192.168.1.184,available,never used
192.168.1.185,unavailable,2014-01-02 15:54:05
192.168.1.186,unavailable,2014-01-02 15:54:05
192.168.1.187,available,never used
192.168.1.188,maybe available,2013-12-26 14:30:55
192.168.1.189,unavailable,2014-01-02 15:54:11
192.168.1.190,available,never used
192.168.1.191,available,never used
192.168.1.192,unavailable,2014-01-02 15:54:17
192.168.1.193,unavailable,2014-01-02 15:54:17
192.168.1.194,unavailable,2014-01-02 15:54:17
192.168.1.195,unavailable,2014-01-02 15:54:17
192.168.1.196,unavailable,2014-01-02 15:54:17
192.168.1.197,unavailable,2014-01-02 15:54:17
192.168.1.198,available,never used
192.168.1.199,unavailable,2014-01-02 15:54:20
192.168.1.200,unavailable,2014-01-02 15:54:20
192.168.1.201,available,never used
192.168.1.202,available,never used
192.168.1.203,available,never used
192.168.1.204,available,never used
192.168.1.205,available,never used
192.168.1.206,available,never used
192.168.1.207,maybe available,2013-12-25 16:59:46
192.168.1.208,available,never used
192.168.1.209,unavailable,2014-01-02 15:54:42
192.168.1.210,available,never used
192.168.1.211,available,never used
192.168.1.212,available,never used
192.168.1.213,unavailable,2014-01-02 15:54:51
192.168.1.214,maybe available,2013-12-31 17:55:21
192.168.1.215,unavailable,2014-01-02 15:54:54
192.168.1.216,available,never used
192.168.1.217,available,never used
192.168.1.218,available,never used
192.168.1.219,available,never used
192.168.1.220,available,never used
192.168.1.221,unavailable,2014-01-02 15:55:07
192.168.1.222,unavailable,2014-01-02 15:55:07
192.168.1.223,maybe available,2013-12-26 18:27:03
192.168.1.224,available,never used
192.168.1.225,unavailable,2014-01-02 15:55:13
192.168.1.226,unavailable,2014-01-02 15:55:13
192.168.1.227,maybe available,2014-01-02 09:32:34
192.168.1.228,unavailable,2014-01-02 15:55:16
192.168.1.229,maybe available,2013-12-26 16:49:47
192.168.1.230,available,never used
192.168.1.231,available,never used
192.168.1.232,available,never used
192.168.1.233,available,never used
192.168.1.234,available,never used
192.168.1.235,unavailable,2014-01-02 15:55:34
192.168.1.236,unavailable,2014-01-02 15:55:34
192.168.1.237,maybe available,2014-01-02 11:10:26
192.168.1.238,available,never used
192.168.1.239,available,never used
192.168.1.240,available,never used
192.168.1.241,unavailable,2014-01-02 15:55:46
192.168.1.242,available,never used
192.168.1.243,unavailable,2014-01-02 15:55:49
192.168.1.244,available,never used
192.168.1.245,available,never used
192.168.1.246,available,never used
192.168.1.247,available,never used
192.168.1.248,available,never used
192.168.1.249,available,never used
192.168.1.250,available,never used
192.168.1.251,available,never used
192.168.1.252,unavailable,2014-01-02 15:56:13
192.168.1.253,unavailable,2014-01-02 15:56:13
192.168.1.254,available,never used
